date_time,amount,method,btc,ltc,usdt
2026-06-08 21:39:41.172595,2800.00,BALANCE,0,0,0
2026-06-08 21:34:29.029312,1750.000,USDT,0,0,1750.000
2026-06-08 21:32:45.318505,2500.00,transa,0,0,0
2026-06-08 21:28:15.155836,3500.00,transa,0,0,0
2026-06-08 21:12:19.158366,3500.00,transa,0,0,0
2026-06-08 21:03:38.501463,3500.00,transa,0,0,0
2026-06-08 21:02:29.018249,1750.000,USDT,0,0,1750.000
2026-06-08 21:01:56.099385,2500.00,BALANCE,0,0,0
2026-06-08 20:58:44.536973,2300.00,BALANCE,0,0,0
2026-06-08 20:35:36.927408,1750.000,USDT,0,0,1750.000
2026-06-08 20:33:19.274631,2500.00,card,0,0,0
2026-06-08 20:29:51.95931,2500.00,transa,0,0,0
2026-06-08 20:25:18.612449,3500.00,transa,0,0,0
2026-06-08 20:23:00.512168,6300.00,card,0,0,0
2026-06-08 20:11:13.864781,3500.00,transa,0,0,0
2026-06-08 20:00:11.534515,6300.00,transa,0,0,0
2026-06-08 19:48:37.80198,2500.00,transa,0,0,0
2026-06-08 19:24:15.488668,8000.00,transa,0,0,0
2026-06-08 19:20:20.405248,3500.00,transa,0,0,0
2026-06-08 19:15:53.400423,8500.00,transa,0,0,0
2026-06-08 19:06:05.119563,5600.00,transa,0,0,0
2026-06-08 19:02:49.183731,2500.00,BALANCE,0,0,0
2026-06-08 18:59:09.888931,1600.00,BALANCE,0,0,0
2026-06-08 18:41:29.999209,2500.00,transa,0,0,0
2026-06-08 18:27:56.579767,1750.000,USDT,0,0,1750.000
2026-06-08 18:24:08.726466,3800.00,BALANCE,0,0,0
2026-06-08 18:08:13.723252,2500.00,card,0,0,0
2026-06-08 18:05:53.286543,2500.00,transa,0,0,0
2026-06-08 18:04:25.728643,5600.000,USDT,0,0,5600.000
2026-06-08 17:53:56.676214,5600.00,transa,0,0,0
2026-06-08 17:21:30.973499,2450.000,USDT,0,0,2450.000
2026-06-08 17:10:20.593443,2500.00,BALANCE,0,0,0
2026-06-08 17:05:16.229858,8500.00,card,0,0,0
2026-06-08 16:56:09.215084,2450.000,USDT,0,0,2450.000
2026-06-08 16:53:49.100247,8000.00,card,0,0,0
2026-06-08 16:48:39.424206,0.00,BALANCE,0,0,0
2026-06-08 16:31:01.81517,3500.00,transa,0,0,0
2026-06-08 16:23:18.025045,3920.000,USDT,0,0,3920.000
2026-06-08 16:23:09.170805,3500.00,transa,0,0,0
2026-06-08 16:18:59.143405,8000.00,transa,0,0,0
2026-06-08 16:11:46.521411,2500.00,card,0,0,0
2026-06-08 15:48:32.985528,1750.000,USDT,0,0,1750.000
2026-06-08 15:35:15.99874,2450.000,USDT,0,0,2450.000
2026-06-08 15:07:42.790037,5600.00,transa,0,0,0
2026-06-08 14:52:18.339943,3920.000,USDT,0,0,3920.000
2026-06-08 14:42:57.785882,1300.00,BALANCE,0,0,0
2026-06-08 14:37:36.030125,4000.00,card,0,0,0
2026-06-08 14:22:22.152913,5300.00,BALANCE,0,0,0
2026-06-08 14:19:09.449425,5600.00,transa,0,0,0
2026-06-08 14:06:51.592454,8000.00,card,0,0,0
2026-06-08 13:48:02.768535,3710.000,USDT,0,0,3710.000
2026-06-08 13:46:47.650448,1750.000,USDT,0,0,1750.000
2026-06-08 13:45:39.856388,2700.00,BALANCE,0,0,0
2026-06-08 13:45:09.557295,0.00,BALANCE,0,0,0
2026-06-08 13:40:46.310891,8000.00,BALANCE,0,0,0
2026-06-08 13:33:44.010328,5600.00,card,0,0,0
2026-06-08 13:26:17.570309,3500.00,transa,0,0,0
2026-06-08 13:18:28.202954,4100.00,BALANCE,0,0,0
2026-06-08 13:15:18.778504,0.00,BALANCE,0,0,0
2026-06-08 13:09:20.761321,3500.00,transa,0,0,0
2026-06-08 13:06:44.924813,8000.00,transa,0,0,0
2026-06-08 13:00:57.815737,3500.00,card,0,0,0
2026-06-08 12:37:47.304538,0.00,BALANCE,0,0,0
2026-06-08 12:29:43.481179,3500.00,transa,0,0,0
2026-06-08 12:16:31.901711,2500.00,transa,0,0,0
2026-06-08 12:13:34.971296,2500.00,BALANCE,0,0,0
2026-06-08 12:05:58.180006,5600.00,card,0,0,0
2026-06-08 12:02:08.83516,5600.00,BALANCE,0,0,0
2026-06-08 12:01:04.772274,5600.00,card,0,0,0
2026-06-08 11:51:50.309636,3500.00,transa,0,0,0
2026-06-08 11:37:53.427747,4000.00,card,0,0,0
2026-06-08 11:30:01.626636,2500.00,transa,0,0,0
2026-06-08 11:25:15.650314,3500.00,transa,0,0,0
2026-06-08 11:20:20.961495,5600.00,card,0,0,0
2026-06-08 11:10:51.261687,5200.00,BALANCE,0,0,0
2026-06-08 11:06:47.831601,5600.00,BALANCE,0,0,0
2026-06-08 11:02:06.186363,1750.000,USDT,0,0,1750.000
2026-06-08 09:37:00.54705,0.00,BALANCE,0,0,0
2026-06-08 09:22:38.026127,5600.00,card,0,0,0
2026-06-08 09:17:23.224893,5300.00,transa,0,0,0
2026-06-08 08:38:42.101678,5500.00,BALANCE,0,0,0
2026-06-08 08:37:50.017169,4060.000,USDT,0,0,4060.000
2026-06-08 08:37:44.984009,2450.000,USDT,0,0,2450.000
2026-06-08 06:59:08.536267,5600.00,transa,0,0,0
2026-06-08 06:30:34.894669,5600.00,transa,0,0,0
2026-06-08 05:54:35.645652,3500.00,transa,0,0,0
2026-06-08 04:16:37.81931,5600.00,card,0,0,0
2026-06-08 03:50:04.859817,1750.000,USDT,0,0,1750.000
2026-06-08 03:30:29.854553,2500.00,transa,0,0,0
2026-06-08 03:21:41.603528,5600.00,transa,0,0,0
2026-06-08 03:11:40.120272,2500.00,BALANCE,0,0,0
2026-06-08 02:50:44.883952,5200.00,BALANCE,0,0,0
2026-06-08 02:39:04.80917,2500.00,transa,0,0,0
2026-06-08 02:25:39.479053,5600.00,card,0,0,0
2026-06-08 02:24:19.170048,8000.00,card,0,0,0
2026-06-08 01:52:21.694831,2100.00,BALANCE,0,0,0
2026-06-08 01:17:23.440168,2500.00,BALANCE,0,0,0
2026-06-08 00:43:07.044862,5600.00,transa,0,0,0
2026-06-08 00:38:32.146755,2500.00,BALANCE,0,0,0
2026-06-07 23:59:00.589839,3500.00,transa,0,0,0
2026-06-07 23:43:22.041342,2500.00,transa,0,0,0
2026-06-07 23:37:00.165858,5700.00,BALANCE,0,0,0
2026-06-07 22:56:00.737462,3500.00,transa,0,0,0
2026-06-07 22:55:47.870901,2450.000,USDT,0,0,2450.000
2026-06-07 22:55:26.790021,1750.000,USDT,0,0,1750.000
2026-06-07 22:41:55.064338,2450.000,USDT,0,0,2450.000
2026-06-07 22:38:18.709486,1750.000,USDT,0,0,1750.000
2026-06-07 22:31:35.757381,3500.00,BALANCE,0,0,0
2026-06-07 22:26:43.251715,3500.00,BALANCE,0,0,0
2026-06-07 22:25:15.27956,5700.00,transa,0,0,0
2026-06-07 22:24:53.597759,2500.00,transa,0,0,0
2026-06-07 22:19:19.339648,8000.00,transa,0,0,0
2026-06-07 22:15:44.537986,0.00,BALANCE,0,0,0
2026-06-07 22:14:00.115988,5600.00,transa,0,0,0
2026-06-07 22:06:24.152225,8000.00,transa,0,0,0
2026-06-07 21:47:04.42844,3500.00,transa,0,0,0
2026-06-07 21:44:46.901671,5700.00,BALANCE,0,0,0
2026-06-07 21:43:29.706034,5600.00,transa,0,0,0
2026-06-07 21:42:18.199728,5600.00,transa,0,0,0
2026-06-07 21:24:18.803767,0.00,BALANCE,0,0,0
2026-06-07 21:20:14.826715,1750.000,USDT,0,0,1750.000
2026-06-07 21:14:23.529628,3500.00,BALANCE,0,0,0
2026-06-07 21:03:10.952819,2500.00,transa,0,0,0
2026-06-07 20:58:54.51672,4400.00,BALANCE,0,0,0
2026-06-07 20:43:27.294165,2500.00,transa,0,0,0
2026-06-07 20:35:59.986887,2500.00,transa,0,0,0
2026-06-07 20:08:51.231873,1750.000,USDT,0,0,1750.000
2026-06-07 20:02:44.722638,5600.00,transa,0,0,0
2026-06-07 20:00:06.833203,0.00,BALANCE,0,0,0
2026-06-07 19:49:40.221564,3500.00,transa,0,0,0
2026-06-07 19:26:16.67041,2500.00,transa,0,0,0
2026-06-07 19:24:19.083665,2500.00,BALANCE,0,0,0
2026-06-07 19:10:12.184123,1750.000,USDT,0,0,1750.000
2026-06-07 19:02:39.191246,0.00,BALANCE,0,0,0
2026-06-07 19:00:42.758387,3500.00,transa,0,0,0
2026-06-07 18:55:25.533234,2450.000,USDT,0,0,2450.000
2026-06-07 18:42:32.804317,0.00,BALANCE,0,0,0
2026-06-07 18:41:57.393466,2500.00,BALANCE,0,0,0
2026-06-07 18:41:10.170003,2500.00,BALANCE,0,0,0
2026-06-07 18:38:07.977744,8000.00,onlypays,0,0,0
2026-06-07 18:25:14.764281,2500.00,transa,0,0,0
2026-06-07 18:15:03.571049,5600.00,transa,0,0,0
2026-06-07 18:08:39.535049,5600.00,BALANCE,0,0,0
2026-06-07 18:08:04.63104,3500.00,BALANCE,0,0,0
2026-06-07 18:07:12.365763,0.00,BALANCE,0,0,0
2026-06-07 18:04:46.04201,5600.00,transa,0,0,0
2026-06-07 17:47:33.050439,0.00,BALANCE,0,0,0
2026-06-07 17:24:44.368365,0.00,BALANCE,0,0,0
2026-06-07 17:18:02.964559,8000.00,transa,0,0,0
2026-06-07 17:15:40.608626,3500.00,transa,0,0,0
2026-06-07 17:10:14.611683,2500.00,BALANCE,0,0,0
2026-06-07 17:09:59.858534,2500.00,BALANCE,0,0,0
2026-06-07 17:03:55.722196,2450.000,USDT,0,0,2450.000
2026-06-07 16:55:59.597938,5700.00,transa,0,0,0
2026-06-07 16:48:56.472841,2500.00,transa,0,0,0
2026-06-07 16:45:21.665829,0.00,BALANCE,0,0,0
2026-06-07 16:40:17.994233,0.00,BALANCE,0,0,0
2026-06-07 16:35:29.639835,2500.00,BALANCE,0,0,0
2026-06-07 16:31:15.146852,3920.000,USDT,0,0,3920.000
2026-06-07 16:30:51.916102,5800.00,transa,0,0,0
2026-06-07 16:22:55.297006,2450.000,USDT,0,0,2450.000
2026-06-07 16:22:48.727681,2500.00,transa,0,0,0
2026-06-07 16:15:11.995951,5600.00,transa,0,0,0
2026-06-07 16:09:06.168563,5600.00,BALANCE,0,0,0
2026-06-07 16:03:43.37816,1750.000,USDT,0,0,1750.000
2026-06-07 16:01:16.125257,2500.00,transa,0,0,0
2026-06-07 15:59:28.100434,5700.00,transa,0,0,0
2026-06-07 15:43:28.120436,1750.000,USDT,0,0,1750.000
2026-06-07 15:40:07.683032,2500.00,transa,0,0,0
2026-06-07 15:25:52.926353,1750.000,USDT,0,0,1750.000
2026-06-07 15:22:07.575047,5600.00,BALANCE,0,0,0
2026-06-07 15:15:21.902192,2500.00,BALANCE,0,0,0
2026-06-07 15:08:33.876515,5600.00,transa,0,0,0
2026-06-07 14:58:41.360644,5600.00,onlypays,0,0,0
2026-06-07 14:48:26.728026,5600.00,transa,0,0,0
2026-06-07 14:40:26.527672,2500.00,card,0,0,0
2026-06-07 14:37:42.037226,2500.00,card,0,0,0
2026-06-07 14:29:45.196775,2500.00,BALANCE,0,0,0
2026-06-07 14:21:14.804817,5700.00,transa,0,0,0
