date_time,amount,method,btc,ltc,usdt
2026-09-08 11:53:08.867838,4500.00,BALANCE,0,0,0
2026-09-08 11:26:19.600574,4287.50,BALANCE,0,0,0
2026-09-08 10:55:17.225418,4285.00,BALANCE,0,0,0
2026-09-08 10:52:24.513996,4285.50,BALANCE,0,0,0
2026-09-08 10:32:29.065939,4286.00,BALANCE,0,0,0
2026-09-08 10:16:05.903884,4500.00,reptiloid,0,0,0
2026-09-08 08:36:45.698216,4500.00,reptiloid,0,0,0
2026-09-08 08:34:22.987638,4285.00,BALANCE,0,0,0
2026-09-08 06:36:13.404413,2375.00,BALANCE,0,0,0
2026-09-08 06:28:55.984266,4500.00,transa,0,0,0
2026-09-08 05:56:07.459471,4500.00,veyfora,0,0,0
2026-09-08 05:10:29.232723,4500.00,transa,0,0,0
2026-09-08 03:34:06.421494,3425.00,BALANCE,0,0,0
2026-09-08 02:57:09.645542,4285.00,BALANCE,0,0,0
2026-09-08 00:34:23.379837,2865.00,BALANCE,0,0,0
2026-09-08 00:21:33.324991,4295.00,BALANCE,0,0,0
2026-09-07 22:52:24.025375,3975.00,BALANCE,0,0,0
2026-09-07 22:40:54.087564,3810.00,BALANCE,0,0,0
2026-09-07 22:21:37.016293,4287.50,BALANCE,0,0,0
2026-09-07 22:03:02.34359,3805.00,BALANCE,0,0,0
2026-09-07 21:54:57.608442,4000.00,reptiloid,0,0,0
2026-09-07 21:46:54.005718,3855.00,BALANCE,0,0,0
2026-09-07 21:46:45.577399,4400.00,BALANCE,0,0,0
2026-09-07 21:42:56.044088,4500.00,BALANCE,0,0,0
2026-09-07 21:41:57.289628,4285.00,BALANCE,0,0,0
2026-09-07 21:38:00.242791,4500.00,reptiloid,0,0,0
2026-09-07 20:44:46.648123,4500.00,reptiloid,0,0,0
2026-09-07 20:43:13.479338,4075.00,BALANCE,0,0,0
2026-09-07 20:24:01.105256,3810.00,BALANCE,0,0,0
2026-09-07 20:08:41.333048,4400.00,reptiloid,0,0,0
2026-09-07 20:03:11.508046,4500.00,reptiloid,0,0,0
2026-09-07 19:57:37.106381,4500.00,reptiloid,0,0,0
2026-09-07 19:54:42.294263,2392.50,BALANCE,0,0,0
2026-09-07 19:53:57.945299,4500.00,reptiloid,0,0,0
2026-09-07 19:52:57.39999,4475.00,BALANCE,0,0,0
2026-09-07 19:51:27.904816,4100.00,BALANCE,0,0,0
2026-09-07 19:40:18.088604,4500.00,reptiloid,0,0,0
2026-09-07 19:31:08.370852,4400.00,card,0,0,0
2026-09-07 19:28:33.138813,2390.00,BALANCE,0,0,0
2026-09-07 19:20:21.845018,4000.00,BALANCE,0,0,0
2026-09-07 19:12:17.11538,4282.50,BALANCE,0,0,0
2026-09-07 19:09:50.208379,2370.00,BALANCE,0,0,0
2026-09-07 19:07:01.000652,4500.00,reptiloid,0,0,0
2026-09-07 19:01:21.904004,2400.00,BALANCE,0,0,0
2026-09-07 18:57:51.712113,3812.00,BALANCE,0,0,0
2026-09-07 18:48:50.580499,4500.00,transa,0,0,0
2026-09-07 18:38:59.76594,4500.00,card,0,0,0
2026-09-07 18:24:51.433146,4280.00,BALANCE,0,0,0
2026-09-07 18:14:04.784483,4500.00,veyfora,0,0,0
2026-09-07 18:04:10.801093,2382.50,BALANCE,0,0,0
2026-09-07 17:47:09.387564,4285.00,BALANCE,0,0,0
2026-09-07 17:25:03.309885,2385.00,BALANCE,0,0,0
2026-09-07 17:20:52.762668,4400.00,card,0,0,0
2026-09-07 17:20:25.423411,2500.00,BALANCE,0,0,0
2026-09-07 17:19:15.95331,3815.00,BALANCE,0,0,0
2026-09-07 17:14:07.374242,3810.00,BALANCE,0,0,0
2026-09-07 17:05:52.522293,4238.25,BALANCE,0,0,0
2026-09-07 17:03:08.139568,1100.00,BALANCE,0,0,0
2026-09-07 16:55:13.510554,1965.00,BALANCE,0,0,0
2026-09-07 16:49:27.134699,2385.00,BALANCE,0,0,0
2026-09-07 16:42:38.073222,4500.00,veyfora,0,0,0
2026-09-07 16:32:53.881266,2375.00,BALANCE,0,0,0
2026-09-07 16:20:30.463885,3805.00,BALANCE,0,0,0
2026-09-07 16:17:02.524644,1953.50,BALANCE,0,0,0
2026-09-07 16:12:46.907033,4400.00,card,0,0,0
2026-09-07 15:57:32.192199,2900.00,BALANCE,0,0,0
2026-09-07 15:49:27.20544,4500.00,reptiloid,0,0,0
2026-09-07 15:49:04.451358,3950.00,BALANCE,0,0,0
2026-09-07 15:42:57.710682,4500.00,transa,0,0,0
2026-09-07 15:38:16.241416,4285.00,BALANCE,0,0,0
2026-09-07 15:35:13.507811,4285.00,BALANCE,0,0,0
2026-09-07 15:35:12.132474,4400.00,card,0,0,0
2026-09-07 15:26:10.125468,4500.00,veyfora,0,0,0
2026-09-07 14:42:39.791804,4500.00,reptiloid,0,0,0
2026-09-07 14:29:02.364385,4290.00,BALANCE,0,0,0
2026-09-07 14:27:34.720083,4000.00,veyfora,0,0,0
2026-09-07 14:20:58.5492,4500.00,transa,0,0,0
2026-09-07 14:12:07.897091,4400.00,BALANCE,0,0,0
2026-09-07 13:51:22.170627,4400.00,reptiloid,0,0,0
2026-09-07 13:20:27.143484,4500.00,reptiloid,0,0,0
2026-09-07 13:12:44.685583,4500.00,card,0,0,0
2026-09-07 13:09:58.999548,2170.00,BALANCE,0,0,0
2026-09-07 12:37:52.510604,3815.00,BALANCE,0,0,0
2026-09-07 12:37:00.801073,1162.50,BALANCE,0,0,0
2026-09-07 12:29:38.900061,4300.00,BALANCE,0,0,0
2026-09-07 12:19:34.809584,3047.50,BALANCE,0,0,0
2026-09-07 12:15:02.214641,4285.00,BALANCE,0,0,0
2026-09-07 12:12:01.196929,4275.00,BALANCE,0,0,0
2026-09-07 11:47:17.006645,4500.00,card,0,0,0
2026-09-07 11:38:38.246573,4500.00,reptiloid,0,0,0
2026-09-07 11:35:54.721501,4500.00,reptiloid,0,0,0
2026-09-07 11:26:31.619821,4300.00,BALANCE,0,0,0
2026-09-07 11:13:25.663284,4285.00,BALANCE,0,0,0
2026-09-07 11:00:44.937119,4500.00,veyfora,0,0,0
2026-09-07 10:46:00.140767,2665.00,BALANCE,0,0,0
2026-09-07 07:40:34.64359,4000.00,BALANCE,0,0,0
2026-09-07 07:39:25.21875,4000.00,BALANCE,0,0,0
2026-09-07 07:36:23.305654,1880.00,BALANCE,0,0,0
2026-09-07 07:25:58.043526,1450.00,BALANCE,0,0,0
2026-09-07 07:03:41.458555,4000.00,card,0,0,0
2026-09-07 06:37:43.744067,2910.00,BALANCE,0,0,0
2026-09-07 04:17:16.0767,4500.00,BALANCE,0,0,0
2026-09-07 02:49:50.731545,4281.00,BALANCE,0,0,0
2026-09-07 01:35:23.588136,4500.00,reptiloid,0,0,0
2026-09-07 01:25:04.19569,4285.00,BALANCE,0,0,0
2026-09-07 00:26:59.381265,4280.00,BALANCE,0,0,0
2026-09-07 00:22:13.399005,4500.00,reptiloid,0,0,0
2026-09-07 00:17:50.961721,4285.00,BALANCE,0,0,0
2026-09-07 00:11:46.467647,4285.00,BALANCE,0,0,0
2026-09-06 23:55:19.509313,4295.00,BALANCE,0,0,0
2026-09-06 23:49:47.500546,4500.00,veyfora,0,0,0
2026-09-06 23:34:01.100258,3800.00,BALANCE,0,0,0
2026-09-06 23:23:39.261789,3807.50,BALANCE,0,0,0
2026-09-06 23:09:36.028216,2830.00,BALANCE,0,0,0
2026-09-06 22:58:45.040224,3430.00,BALANCE,0,0,0
2026-09-06 22:46:41.0187,4275.00,BALANCE,0,0,0
2026-09-06 22:42:52.174994,2165.00,BALANCE,0,0,0
2026-09-06 22:13:08.281562,4285.00,BALANCE,0,0,0
