date_time,amount,method,id
2026-06-01 21:45:51.440617,0.00,BALANCE,101948
2026-06-01 21:30:28.330178,0.00,BALANCE,101943
2026-06-01 21:23:59.013377,5600.00,BALANCE,101936
2026-06-01 21:07:10.219667,2500.00,card,101931
2026-06-01 20:49:39.286215,6500.00,card,101925
2026-06-01 20:29:26.267383,5600.00,card,101922
2026-06-01 20:27:42.374536,6300.00,card,101920
2026-06-01 20:25:22.29813,13000.00,nirvana,101918
2026-06-01 20:20:07.797494,3780.000,USDT,101915
2026-06-01 20:19:26.695672,3920.000,USDT,101914
2026-06-01 20:18:37.267258,2125.0000,LTC,101913
2026-06-01 20:15:02.147834,6500.00,card,101909
2026-06-01 20:12:21.787075,2450.000,USDT,101906
2026-06-01 20:03:35.913567,5600.00,card,101900
2026-06-01 19:58:14.10507,0.00,BALANCE,101896
2026-06-01 19:55:23.112329,8000.00,card,101895
2026-06-01 19:52:33.12136,1750.000,USDT,101893
2026-06-01 19:48:53.076738,2500.00,BALANCE,101891
2026-06-01 19:42:03.588292,2500.00,card,101890
2026-06-01 19:39:14.663802,8000.00,card,101889
2026-06-01 19:37:20.458998,3500.00,card,101888
2026-06-01 19:26:33.814659,8000.00,card,101885
2026-06-01 19:14:30.761074,3500.00,card,101877
2026-06-01 19:09:39.356827,5600.00,card,101876
2026-06-01 19:01:57.960072,5600.00,card,101874
2026-06-01 18:43:50.121075,3500.00,nirvana,101871
2026-06-01 18:38:21.732803,8000.00,BALANCE,101869
2026-06-01 18:23:50.106666,8000.00,nirvana,101865
2026-06-01 18:22:45.55565,0.00,BALANCE,101864
2026-06-01 18:21:37.382347,1750.000,USDT,101862
2026-06-01 18:21:16.862424,6500.00,card,101861
2026-06-01 18:19:44.629323,0.00,BALANCE,101860
2026-06-01 18:18:23.601579,6500.00,card,101859
2026-06-01 18:09:33.528638,5600.00,BALANCE,101857
2026-06-01 18:08:57.211481,2100.00,BALANCE,101856
2026-06-01 17:57:56.896138,1750.000,USDT,101845
2026-06-01 17:49:07.38769,5700.00,card,101837
2026-06-01 17:42:44.948448,2500.00,card,101835
2026-06-01 17:26:32.583858,2500.00,card,101833
2026-06-01 17:14:33.584314,2500.00,BALANCE,101830
2026-06-01 17:05:47.43426,1750.000,USDT,101828
2026-06-01 17:03:26.870531,2500.00,card,101826
2026-06-01 16:52:46.785552,0.00,BALANCE,101823
2026-06-01 16:50:03.873099,5600.00,card,101821
2026-06-01 16:48:01.027698,5700.00,BALANCE,101819
2026-06-01 16:34:58.992836,5700.00,nirvana,101816
2026-06-01 16:29:22.386471,5700.00,BALANCE,101815
2026-06-01 16:28:08.137553,0.00,BALANCE,101814
2026-06-01 16:25:57.232987,3500.00,card,101813
2026-06-01 16:10:10.257729,3500.00,BALANCE,101800
2026-06-01 16:09:17.79845,2500.00,card,101799
2026-06-01 16:08:06.031462,8000.00,card,101798
2026-06-01 16:04:46.424825,2450.000,USDT,101795
2026-06-01 16:00:14.235967,2500.00,card,101793
2026-06-01 15:59:29.613892,2500.00,card,101792
2026-06-01 15:52:00.89665,5600.00,BALANCE,101790
2026-06-01 15:42:56.895511,8000.00,card,101786
2026-06-01 15:00:38.856912,5600.00,card,101774
2026-06-01 14:55:38.3707,1750.000,USDT,101772
2026-06-01 14:50:52.533653,2500.00,card,101770
2026-06-01 14:31:26.483279,2500.00,BALANCE,101768
2026-06-01 14:30:14.12504,5600.00,card,101767
2026-06-01 14:29:37.492916,5500.00,BALANCE,101765
2026-06-01 14:10:22.839189,3500.00,BALANCE,101755
2026-06-01 14:05:42.210712,7600.00,BALANCE,101751
2026-06-01 14:05:13.300102,5400.00,card,101750
2026-06-01 13:45:38.691186,2450.000,USDT,101744
2026-06-01 13:41:14.966111,1750.000,USDT,101741
2026-06-01 13:32:50.228067,5600.00,card,101740
2026-06-01 13:22:35.866641,2450.000,USDT,101738
2026-06-01 13:19:30.890333,3780.000,USDT,101737
2026-06-01 12:38:32.617319,2500.00,card,101733
2026-06-01 12:32:17.808063,5600.00,card,101732
2026-06-01 12:31:03.647243,5600.000,USDT,101730
2026-06-01 12:21:41.425265,3500.00,card,101727
2026-06-01 12:16:36.527368,5600.00,card,101726
2026-06-01 12:04:29.508736,1750.000,USDT,101725
2026-06-01 11:52:50.949447,5700.00,card,101723
2026-06-01 11:50:29.803275,2450.000,USDT,101721
2026-06-01 11:34:03.370087,8000.00,BALANCE,101711
2026-06-01 11:28:36.932737,1000.00,BALANCE,101708
2026-06-01 10:50:21.078661,3990.000,USDT,101687
2026-06-01 10:45:24.314769,3920.000,USDT,101686
2026-06-01 09:39:39.042143,0.00,BALANCE,101675
2026-06-01 09:12:33.505495,2450.000,USDT,101674
2026-06-01 08:06:11.777858,5700.00,BALANCE,101668
2026-06-01 06:07:15.896159,2450.000,USDT,101649
2026-06-01 04:34:41.069644,2450.000,USDT,101635
2026-06-01 01:34:00.424873,3500.00,BALANCE,101603
2026-06-01 00:10:38.338022,2450.000,USDT,101583
2026-05-31 23:09:52.405688,3920.000,USDT,101568
2026-05-31 22:48:19.437521,2450.000,USDT,101558
2026-05-31 22:26:55.083929,1300.00,BALANCE,101548
2026-05-31 22:02:44.330223,2450.000,USDT,101531
2026-05-31 21:53:28.804439,8000.00,BALANCE,101530
2026-05-31 21:50:38.203333,3920.000,USDT,101528
2026-05-31 21:28:56.107729,300.00,BALANCE,101513
2026-05-31 21:11:20.743391,0.00,BALANCE,101507
2026-05-31 20:49:05.994853,3920.000,USDT,101501
2026-05-31 20:03:51.510925,3920.000,USDT,101489
2026-05-31 19:48:50.665259,2450.000,USDT,101484
2026-05-31 19:12:28.947932,5600.00,transa,101472
2026-05-31 19:02:39.838193,8000.00,transa,101470
2026-05-31 18:54:42.365979,3500.00,transa,101469
2026-05-31 18:45:43.974384,3500.00,transa,101468
2026-05-31 18:42:14.513465,9000.00,transa,101467
2026-05-31 18:34:04.131569,0.00,BALANCE,101465
2026-05-31 18:31:09.132187,3500.00,transa,101464
2026-05-31 18:24:51.481185,2450.000,USDT,101460
2026-05-31 18:16:26.56652,5600.00,transa,101457
2026-05-31 17:52:59.343706,1000.00,BALANCE,101455
2026-05-31 17:51:36.432361,4500.00,BALANCE,101450
2026-05-31 17:38:25.239076,3500.00,transa,101448
2026-05-31 17:15:14.671869,2700.00,BALANCE,101441
2026-05-31 17:07:46.733528,2450.000,USDT,101434
2026-05-31 17:03:51.65828,8000.00,BALANCE,101426
