date_time,amount,method,btc,ltc,usdt
2026-06-22 13:21:18.185956,4500.00,BALANCE,0,0,0
2026-06-22 12:27:12.720248,1750.000,USDT,0,0,24.935000
2026-06-22 12:21:36.504958,600.00,BALANCE,0,0,0
2026-06-22 11:59:30.077819,1300.00,BALANCE,0,0,0
2026-06-22 11:57:54.848388,2500.00,card,0,0,0
2026-06-22 11:55:46.756499,2500.00,card,0,0,0
2026-06-22 11:55:22.981087,2500.00,card,0,0,0
2026-06-22 11:46:58.854116,3600.00,transa,0,0,0
2026-06-22 11:07:19.637717,3600.00,transa,0,0,0
2026-06-22 10:49:54.340067,5600.00,card,0,0,0
2026-06-22 10:43:18.102425,5500.00,card,0,0,0
2026-06-22 10:41:55.811066,3600.00,transa,0,0,0
2026-06-22 10:38:16.344075,3500.00,transa,0,0,0
2026-06-22 10:19:11.857268,5400.00,transa,0,0,0
2026-06-22 09:03:47.221001,3100.00,transa,0,0,0
2026-06-22 08:20:48.821657,2520.000,USDT,0,0,35.907000
2026-06-22 06:12:03.621117,3500.00,transa,0,0,0
2026-06-22 01:18:23.010822,7500.00,transa,0,0,0
2026-06-22 00:40:50.591952,1600.00,BALANCE,0,0,0
2026-06-22 00:18:21.294654,2500.00,transa,0,0,0
2026-06-22 00:13:26.825903,0.00,BALANCE,0,0,0
2026-06-22 00:11:11.467392,5500.00,transa,0,0,0
2026-06-21 23:29:01.278552,8000.00,transa,0,0,0
2026-06-21 23:17:18.006861,3600.00,BALANCE,0,0,0
2026-06-21 23:13:14.987896,2500.00,transa,0,0,0
2026-06-21 23:02:30.531406,2500.00,BALANCE,0,0,0
2026-06-21 22:56:03.027896,3920.000,USDT,0,0,55.855000
2026-06-21 22:47:21.741511,5600.00,transa,0,0,0
2026-06-21 22:46:35.050276,3800.00,transa,0,0,0
2026-06-21 22:45:52.946941,3920.000,USDT,0,0,55.855000
2026-06-21 22:24:35.024691,1750.000,USDT,0,0,24.935000
2026-06-21 22:07:52.1066,3500.00,transa,0,0,0
2026-06-21 22:07:50.282889,200.00,BALANCE,0,0,0
2026-06-21 21:59:19.203772,2500.00,transa,0,0,0
2026-06-21 21:58:21.019947,5400.00,transa,0,0,0
2026-06-21 21:58:11.228908,3600.00,transa,0,0,0
2026-06-21 21:32:22.358525,2500.00,transa,0,0,0
2026-06-21 21:31:55.766036,2450.000,USDT,0,0,34.909000
2026-06-21 21:28:42.448724,5600.00,transa,0,0,0
2026-06-21 21:27:38.79612,3500.00,BALANCE,0,0,0
2026-06-21 21:25:49.534082,1750.000,USDT,0,0,24.935000
2026-06-21 21:22:14.486022,3100.00,transa,0,0,0
2026-06-21 21:20:46.534539,2900.00,BALANCE,0,0,0
2026-06-21 21:19:27.851193,2660.000,USDT,0,0,37.901000
2026-06-21 21:11:49.683024,5600.00,transa,0,0,0
2026-06-21 21:08:20.110857,5600.00,BALANCE,0,0,0
2026-06-21 21:06:35.932494,1300.00,BALANCE,0,0,0
2026-06-21 21:05:28.595574,0.00,BALANCE,0,0,0
2026-06-21 20:57:38.387218,3920.000,USDT,0,0,55.855000
2026-06-21 20:50:46.714061,2660.000,USDT,0,0,37.901000
2026-06-21 20:34:02.313665,0.00,BALANCE,0,0,0
2026-06-21 20:26:55.109842,2660.000,USDT,0,0,37.901000
2026-06-21 20:21:25.335328,3920.000,USDT,0,0,55.855000
2026-06-21 20:14:40.696061,5600.00,BALANCE,0,0,0
2026-06-21 20:10:24.322224,3600.00,transa,0,0,0
2026-06-21 20:09:10.486792,5600.00,transa,0,0,0
2026-06-21 20:08:48.439474,8000.00,transa,0,0,0
2026-06-21 20:00:09.627121,5500.00,onlypays,0,0,0
2026-06-21 19:55:08.792699,3800.00,transa,0,0,0
2026-06-21 19:52:25.407967,1900.00,BALANCE,0,0,0
2026-06-21 19:36:16.727002,3780.000,USDT,0,0,53.860000
2026-06-21 19:35:38.605856,2000.00,BALANCE,0,0,0
2026-06-21 19:29:54.146714,2500.00,transa,0,0,0
2026-06-21 19:17:51.076543,3100.00,transa,0,0,0
2026-06-21 19:16:52.222081,5400.00,transa,0,0,0
2026-06-21 19:15:47.08653,4500.00,BALANCE,0,0,0
2026-06-21 19:13:48.332155,5600.00,BALANCE,0,0,0
2026-06-21 18:53:59.978789,3800.00,BALANCE,0,0,0
