date_time,amount,method,btc,ltc,usdt
2026-08-24 22:40:40.607607,4200.00,BALANCE,0,0,0
2026-08-24 22:19:31.031224,7200.00,merchant001,0,0,0
2026-08-24 22:19:14.75434,4300.00,BALANCE,0,0,0
2026-08-24 22:04:37.217558,2600.00,BALANCE,0,0,0
2026-08-24 21:28:13.726537,7200.00,BALANCE,0,0,0
2026-08-24 21:20:12.472945,7200.00,nirvana,0,0,0
2026-08-24 21:14:00.837865,4400.00,BALANCE,0,0,0
2026-08-24 21:02:42.524059,4300.00,card,0,0,0
2026-08-24 20:48:10.202542,7200.00,reptiloid,0,0,0
2026-08-24 20:47:51.458682,4400.00,nirvana,0,0,0
2026-08-24 20:33:39.374576,4400.00,BALANCE,0,0,0
2026-08-24 20:22:13.460986,4300.00,reptiloid,0,0,0
2026-08-24 20:18:06.089251,4300.00,card,0,0,0
2026-08-24 20:02:50.391744,4300.00,reptiloid,0,0,0
2026-08-24 20:01:38.754723,4400.00,reptiloid,0,0,0
2026-08-24 19:44:58.041358,1400.00,BALANCE,0,0,0
2026-08-24 19:42:36.529545,1300.00,BALANCE,0,0,0
2026-08-24 19:36:15.3345,4400.00,BALANCE,0,0,0
2026-08-24 19:27:38.204781,4300.00,reptiloid,0,0,0
2026-08-24 19:22:41.875616,3010.000,USDT,0,0,42.888000
2026-08-24 18:55:12.706043,4300.00,reptiloid,0,0,0
2026-08-24 18:54:43.224493,4300.00,reptiloid,0,0,0
2026-08-24 18:53:12.802433,7200.00,reptiloid,0,0,0
2026-08-24 18:51:26.202926,1900.00,BALANCE,0,0,0
2026-08-24 18:47:12.81866,4300.00,BALANCE,0,0,0
2026-08-24 18:39:29.617601,4300.00,card,0,0,0
2026-08-24 18:39:11.347681,4400.00,card,0,0,0
2026-08-24 18:32:39.318823,4300.00,reptiloid,0,0,0
2026-08-24 18:25:09.714136,7200.00,reptiloid,0,0,0
2026-08-24 18:22:29.462066,4300.00,reptiloid,0,0,0
2026-08-24 18:19:14.755585,4300.00,card,0,0,0
2026-08-24 18:06:52.344111,4300.00,card,0,0,0
2026-08-24 17:38:17.71139,4300.00,merchant001,0,0,0
2026-08-24 17:35:29.05086,4300.00,card,0,0,0
2026-08-24 17:25:01.98636,4400.00,merchant001,0,0,0
2026-08-24 17:21:24.981228,1300.00,BALANCE,0,0,0
2026-08-24 17:18:51.108429,4300.00,reptiloid,0,0,0
2026-08-24 17:06:52.497016,4300.00,card,0,0,0
2026-08-24 16:22:55.170095,4300.00,reptiloid,0,0,0
2026-08-24 16:18:30.048759,7200.00,reptiloid,0,0,0
2026-08-24 16:14:22.825476,1900.00,BALANCE,0,0,0
2026-08-24 16:06:03.050366,3200.00,BALANCE,0,0,0
2026-08-24 15:59:00.490183,4300.00,card,0,0,0
2026-08-24 15:57:11.457531,4300.00,reptiloid,0,0,0
2026-08-24 15:33:41.285985,2400.00,reptiloid,0,0,0
2026-08-24 15:32:50.831104,1900.00,reptiloid,0,0,0
2026-08-24 15:32:49.068142,1900.00,merchant001,0,0,0
2026-08-24 15:27:02.367478,4300.00,reptiloid,0,0,0
2026-08-24 15:26:36.83657,4300.00,reptiloid,0,0,0
2026-08-24 15:20:01.319395,4300.00,reptiloid,0,0,0
2026-08-24 15:16:16.437516,1900.00,BALANCE,0,0,0
2026-08-24 15:11:03.73419,3200.00,BALANCE,0,0,0
2026-08-24 15:05:30.78255,7200.00,reptiloid,0,0,0
2026-08-24 14:59:06.960799,4300.00,reptiloid,0,0,0
2026-08-24 14:48:51.091239,1300.00,BALANCE,0,0,0
2026-08-24 14:45:50.157761,4300.00,card,0,0,0
2026-08-24 14:43:16.791844,4300.00,card,0,0,0
2026-08-24 14:41:50.689806,2720.0000,LTC,0,0.73120659,0
2026-08-24 14:41:32.667104,4300.00,reptiloid,0,0,0
2026-08-24 14:27:42.746833,4300.00,card,0,0,0
2026-08-24 14:25:45.808188,3200.00,reptiloid,0,0,0
2026-08-24 14:21:04.9332,4300.00,reptiloid,0,0,0
2026-08-24 14:05:57.427758,4300.00,reptiloid,0,0,0
