date,amount,method,btc,ltc,usdt
2026-05-06,2030.000,USDT,0,0,28.925000
2026-05-06,3000.00,juppiter,0,0,0
2026-05-06,3200.00,card,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,3200.00,card,0,0,0
2026-05-06,2730.000,USDT,0,0,38.899000
2026-05-06,3200.00,transa,0,0,0
2026-05-06,2030.000,USDT,0,0,28.925000
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2900.00,juppiter,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3900.00,BALANCE,0,0,0
2026-05-06,3000.00,card,0,0,0
2026-05-06,3900.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3900.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3000.00,card,0,0,0
2026-05-06,4400.00,BALANCE,0,0,0
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3200.00,transa,0,0,0
2026-05-06,2030.000,USDT,0,0,28.925000
2026-05-06,3900.00,BALANCE,0,0,0
2026-05-06,3900.00,BALANCE,0,0,0
2026-05-06,3000.00,BALANCE,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,3200.00,card,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,300.00,transa,0,0,0
2026-05-06,2240.000,USDT,0,0,31.917000
2026-05-06,14000.00,BALANCE,0,0,0
2026-05-06,300.00,BALANCE,0,0,0
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,14000.00,juppiter,0,0,0
2026-05-05,2030.000,USDT,0,0,28.925000
2026-05-05,2100.000,USDT,0,0,29.922000
2026-05-05,2900.00,transa,0,0,0
2026-05-05,300.00,BALANCE,0,0,0
