date,amount,method,btc,ltc,usdt
2026-05-19,2700.00,BALANCE,0,0,0
2026-05-19,2450.000,USDT,0,0,34.909000
2026-05-19,3500.00,transa,0,0,0
2026-05-19,2700.00,transa,0,0,0
2026-05-19,2500.00,BALANCE,0,0,0
2026-05-19,2500.00,transa,0,0,0
2026-05-19,8500.00,BALANCE,0,0,0
2026-05-19,2500.00,transa,0,0,0
2026-05-19,2700.00,transa,0,0,0
2026-05-19,3500.00,transa,0,0,0
2026-05-19,2700.00,transa,0,0,0
2026-05-19,5400.00,transa,0,0,0
2026-05-19,5700.00,onlypays,0,0,0
2026-05-19,3500.00,transa,0,0,0
2026-05-19,2700.00,transa,0,0,0
2026-05-19,3920.000,USDT,0,0,55.855000
2026-05-19,3500.00,transa,0,0,0
2026-05-19,5700.00,nirvana,0,0,0
2026-05-19,3500.00,transa,0,0,0
2026-05-19,2700.00,transa,0,0,0
2026-05-19,5600.00,BALANCE,0,0,0
2026-05-18,2500.00,transa,0,0,0
2026-05-18,2700.00,transa,0,0,0
2026-05-18,8000.00,transa,0,0,0
2026-05-18,8000.00,BALANCE,0,0,0
2026-05-18,3600.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,5800.00,transa,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,4060.000,USDT,0,0,57.850000
2026-05-18,3500.00,transa,0,0,0
2026-05-18,5600.00,transa,0,0,0
2026-05-18,8000.00,transa,0,0,0
2026-05-18,5800.00,BALANCE,0,0,0
2026-05-18,8500.00,transa,0,0,0
2026-05-18,4060.000,USDT,0,0,57.850000
2026-05-18,2700.00,transa,0,0,0
2026-05-18,4060.000,USDT,0,0,57.850000
2026-05-18,5400.00,BALANCE,0,0,0
2026-05-18,5600.00,transa,0,0,0
2026-05-18,4060.000,USDT,0,0,57.850000
2026-05-18,5600.00,BALANCE,0,0,0
2026-05-18,2500.00,transa,0,0,0
2026-05-18,3600.00,BALANCE,0,0,0
2026-05-18,1890.000,USDT,0,0,26.930000
2026-05-18,2500.00,BALANCE,0,0,0
2026-05-18,5600.00,card,0,0,0
2026-05-18,2500.00,card,0,0,0
2026-05-18,2700.00,BALANCE,0,0,0
2026-05-18,8000.00,transa,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,13000.00,transa,0,0,0
2026-05-18,3500.00,BALANCE,0,0,0
2026-05-18,5600.00,card,0,0,0
2026-05-18,5700.00,card,0,0,0
2026-05-18,13000.00,transa,0,0,0
2026-05-18,2500.00,BALANCE,0,0,0
2026-05-18,13000.00,card,0,0,0
2026-05-18,2700.00,transa,0,0,0
2026-05-18,2500.00,card,0,0,0
2026-05-18,2700.00,card,0,0,0
2026-05-18,5600.00,card,0,0,0
2026-05-18,9100.000,USDT,0,0,129.663000
2026-05-18,2700.00,transa,0,0,0
2026-05-18,2300.00,card,0,0,0
2026-05-18,3500.00,BALANCE,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,8000.00,nirvana,0,0,0
2026-05-18,8000.00,transa,0,0,0
2026-05-18,2700.00,BALANCE,0,0,0
2026-05-18,5700.00,transa,0,0,0
2026-05-18,2500.00,BALANCE,0,0,0
2026-05-18,2500.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,8000.00,transa,0,0,0
2026-05-18,3500.00,BALANCE,0,0,0
2026-05-18,3500.00,card,0,0,0
2026-05-18,2660.000,USDT,0,0,37.901000
2026-05-18,3800.00,card,0,0,0
2026-05-18,5600.00,card,0,0,0
2026-05-18,5400.00,transa,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,3500.00,card,0,0,0
2026-05-18,13000.00,card,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,5700.00,card,0,0,0
2026-05-18,3800.00,card,0,0,0
2026-05-18,5600.000,USDT,0,0,79.793000
2026-05-18,2500.00,BALANCE,0,0,0
2026-05-18,5700.00,transa,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,5400.00,transa,0,0,0
2026-05-18,3600.00,card,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,3500.00,transa,0,0,0
2026-05-18,2500.00,transa,0,0,0
2026-05-18,3600.00,card,0,0,0
2026-05-18,3920.000,USDT,0,0,55.855000
2026-05-18,24000.00,transa,0,0,0
2026-05-18,5700.00,transa,0,0,0
2026-05-18,3300.00,BALANCE,0,0,0
2026-05-18,2450.000,USDT,0,0,34.909000
2026-05-18,5700.00,transa,0,0,0
2026-05-18,5700.00,transa,0,0,0
2026-05-18,2500.00,card,0,0,0
2026-05-18,3500.00,card,0,0,0
2026-05-18,3920.000,USDT,0,0,55.855000
2026-05-18,5600.00,transa,0,0,0
2026-05-18,3600.00,transa,0,0,0
2026-05-18,5400.00,transa,0,0,0
2026-05-18,3920.000,USDT,0,0,55.855000
2026-05-18,3800.00,card,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,2500.00,card,0,0,0
2026-05-18,8300.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,3600.00,BALANCE,0,0,0
2026-05-18,5600.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-18,3500.00,transa,0,0,0
2026-05-17,5600.00,transa,0,0,0
2026-05-17,5400.00,transa,0,0,0
2026-05-17,3800.00,transa,0,0,0
2026-05-17,5700.00,transa,0,0,0
2026-05-17,5810.000,USDT,0,0,82.785000
2026-05-17,3780.000,USDT,0,0,53.860000
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,8000.00,transa,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,8500.00,transa,0,0,0
2026-05-17,8000.00,BALANCE,0,0,0
2026-05-17,3300.00,transa,0,0,0
2026-05-17,3300.00,transa,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,3920.000,USDT,0,0,55.855000
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,4060.000,USDT,0,0,57.850000
2026-05-17,3600.00,transa,0,0,0
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,5600.00,transa,0,0,0
2026-05-17,5600.00,transa,0,0,0
2026-05-17,5600.000,USDT,0,0,79.793000
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,3300.00,BALANCE,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3800.00,BALANCE,0,0,0
2026-05-17,5800.00,BALANCE,0,0,0
2026-05-17,3800.00,transa,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,3920.000,USDT,0,0,55.855000
2026-05-17,3920.000,USDT,0,0,55.855000
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,5700.00,transa,0,0,0
2026-05-17,8000.00,transa,0,0,0
2026-05-17,1750.000,USDT,0,0,24.935000
2026-05-17,5600.00,card,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3600.00,card,0,0,0
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,3600.00,card,0,0,0
2026-05-17,5600.00,card,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,5400.00,transa,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-17,3500.00,card,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-17,3500.00,card,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-17,2500.00,BALANCE,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,5800.00,card,0,0,0
2026-05-17,8000.00,transa,0,0,0
2026-05-17,5400.00,transa,0,0,0
2026-05-17,8300.00,BALANCE,0,0,0
2026-05-17,1610.000,USDT,0,0,22.940000
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,5700.00,card,0,0,0
2026-05-17,2500.00,transa,0,0,0
2026-05-17,2500.00,card,0,0,0
2026-05-17,5800.00,BALANCE,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,5700.00,transa,0,0,0
2026-05-17,5700.00,BALANCE,0,0,0
2026-05-17,5700.00,transa,0,0,0
2026-05-17,5600.00,transa,0,0,0
2026-05-17,4000.00,transa,0,0,0
2026-05-17,5600.00,BALANCE,0,0,0
2026-05-17,1750.000,USDT,0,0,24.935000
2026-05-17,8300.00,transa,0,0,0
2026-05-17,5600.00,transa,0,0,0
2026-05-17,2450.000,USDT,0,0,34.909000
2026-05-17,3500.00,transa,0,0,0
2026-05-17,8500.00,BALANCE,0,0,0
2026-05-17,3500.00,transa,0,0,0
2026-05-17,3500.00,BALANCE,0,0,0
2026-05-16,5600.00,transa,0,0,0
2026-05-16,5400.00,transa,0,0,0
2026-05-16,3500.00,transa,0,0,0
2026-05-16,2450.000,USDT,0,0,34.909000
2026-05-16,5700.00,BALANCE,0,0,0
2026-05-16,5800.00,BALANCE,0,0,0
2026-05-16,3500.00,BALANCE,0,0,0
2026-05-16,3780.000,USDT,0,0,53.860000
2026-05-16,5810.000,USDT,0,0,82.785000
2026-05-16,4060.000,USDT,0,0,57.850000
2026-05-16,8000.00,transa,0,0,0
2026-05-16,5810.000,USDT,0,0,82.785000
2026-05-16,2450.000,USDT,0,0,34.909000
2026-05-16,3500.00,transa,0,0,0
2026-05-16,5700.00,transa,0,0,0
2026-05-16,5600.00,BALANCE,0,0,0
