date_time,amount,method,id
2026-06-02 00:20:39.819907,1100.00,BALANCE,61615
2026-06-02 00:03:27.13554,950.00,BALANCE,61606
2026-06-01 23:09:48.072172,3080.000,USDT,61590
2026-06-01 22:05:39.835864,4400.00,BALANCE,61567
2026-06-01 22:00:01.425447,4100.00,card,61566
2026-06-01 21:56:23.793708,0.00,BALANCE,61563
2026-06-01 21:54:23.462222,0.00,BALANCE,61562
2026-06-01 21:35:24.68875,2870.000,USDT,61555
2026-06-01 21:30:02.552703,1700.0000,BTC,61554
2026-06-01 21:07:43.640091,1700.00,card,61551
2026-06-01 21:00:30.114233,4400.00,card,61550
2026-06-01 21:00:20.283097,4100.00,card,61549
2026-06-01 20:37:45.496507,2870.000,USDT,61544
2026-06-01 20:30:37.545789,1100.00,BALANCE,61543
2026-06-01 20:30:17.090796,4100.00,BALANCE,61542
2026-06-01 20:09:23.557065,100.00,BALANCE,61535
2026-06-01 19:37:51.484169,4400.00,card,61529
2026-06-01 19:31:56.799269,4100.00,card,61526
2026-06-01 18:59:05.2029,4970.000,USDT,61518
2026-06-01 18:58:56.321967,4970.000,USDT,61517
2026-06-01 18:58:46.454998,2870.000,USDT,61516
2026-06-01 18:56:08.391978,0.00,BALANCE,61509
2026-06-01 18:41:50.343667,4100.00,BALANCE,61497
2026-06-01 18:20:27.427474,1190.000,USDT,61487
2026-06-01 18:15:22.619333,3000.00,BALANCE,61481
2026-06-01 18:12:36.906937,2600.00,card,61478
2026-06-01 18:10:47.883432,4100.00,card,61477
2026-06-01 17:58:16.019249,3100.00,BALANCE,61468
2026-06-01 17:56:38.586446,4100.00,BALANCE,61467
2026-06-01 17:55:41.018563,7100.00,card,61466
2026-06-01 17:55:15.009096,4100.00,BALANCE,61465
2026-06-01 17:52:30.518147,1100.00,BALANCE,61458
2026-06-01 17:32:40.216815,800.00,BALANCE,61450
2026-06-01 17:28:37.522725,7100.00,card,61446
2026-06-01 17:21:58.363617,0.00,BALANCE,61442
2026-06-01 16:53:55.759079,1700.00,card,61426
2026-06-01 16:50:32.106188,2870.000,USDT,61425
2026-06-01 16:44:13.543501,4100.00,card,61423
2026-06-01 16:38:27.20127,4400.00,card,61421
2026-06-01 16:35:13.247656,4100.00,BALANCE,61420
2026-06-01 16:34:03.576308,4100.00,card,61419
2026-06-01 16:33:58.913507,2600.00,card,61418
