date,amount,method,btc,ltc,usdt
2026-05-14,4000.00,transa,0,0,0
2026-05-14,2465.0000,LTC,0,0.6122703,0
2026-05-14,4000.00,BALANCE,0,0,0
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-14,4200.00,transa,0,0,0
2026-05-14,2800.000,USDT,0,0,39.896000
2026-05-14,2900.00,transa,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,3000.00,BALANCE,0,0,0
2026-05-14,2550.0000,LTC,0,0.63338307,0
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-14,4000.00,transa,0,0,0
2026-05-14,1900.00,BALANCE,0,0,0
2026-05-14,4000.00,transa,0,0,0
2026-05-14,4000.00,BALANCE,0,0,0
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,4000.00,transa,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-13,3000.00,BALANCE,0,0,0
2026-05-13,3000.00,BALANCE,0,0,0
2026-05-13,1900.00,BALANCE,0,0,0
2026-05-13,3000.00,card,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2000.00,transa,0,0,0
2026-05-13,2900.00,transa,0,0,0
2026-05-13,2030.000,USDT,0,0,28.925000
2026-05-13,2100.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2900.00,transa,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,1800.00,BALANCE,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,2000.00,BALANCE,0,0,0
2026-05-13,2700.00,BALANCE,0,0,0
2026-05-13,2000.00,transa,0,0,0
2026-05-13,2900.00,card,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,3200.00,transa,0,0,0
2026-05-13,2000.00,BALANCE,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,7300.00,BALANCE,0,0,0
2026-05-13,1900.00,card,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2000.00,card,0,0,0
2026-05-13,1900.00,nirvana,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2030.000,USDT,0,0,28.925000
2026-05-13,4000.00,card,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,2100.00,BALANCE,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,2900.00,card,0,0,0
2026-05-13,3000.00,card,0,0,0
2026-05-13,1900.00,BALANCE,0,0,0
2026-05-13,1900.00,BALANCE,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,3000.00,card,0,0,0
2026-05-13,3200.00,transa,0,0,0
2026-05-13,6900.00,BALANCE,0,0,0
2026-05-13,4000.00,card,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,4000.00,BALANCE,0,0,0
2026-05-13,2800.000,USDT,0,0,39.896000
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,2900.00,card,0,0,0
2026-05-13,2700.00,BALANCE,0,0,0
2026-05-13,2700.00,BALANCE,0,0,0
2026-05-13,2900.00,transa,0,0,0
2026-05-13,2900.00,transa,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,2100.00,BALANCE,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,4000.00,transa,0,0,0
2026-05-13,3200.00,card,0,0,0
2026-05-13,4000.00,transa,0,0,0
