date,amount,method,btc,ltc,usdt
2026-05-06,4000.00,BALANCE,0,0,0
2026-05-06,4000.00,BALANCE,0,0,0
2026-05-06,4000.00,BALANCE,0,0,0
2026-05-06,1700.00,BALANCE,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2800.000,USDT,0,0,39.896000
2026-05-06,2900.00,nirvana,0,0,0
2026-05-06,4000.00,transa,0,0,0
2026-05-06,4200.00,BALANCE,0,0,0
2026-05-06,4000.00,BALANCE,0,0,0
2026-05-06,1700.00,transa,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2000.00,BALANCE,0,0,0
2026-05-06,2800.000,USDT,0,0,39.896000
2026-05-06,4000.00,transa,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2900.00,juppiter,0,0,0
2026-05-06,2720.0000,LTC,0,0.67560861,0
2026-05-06,1400.000,USDT,0,0,19.948000
2026-05-06,3200.00,BALANCE,0,0,0
2026-05-06,2800.000,USDT,0,0,39.896000
2026-05-06,4000.00,card,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2500.00,card,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2520.000,USDT,0,0,35.907000
2026-05-06,2000.00,BALANCE,0,0,0
2026-05-06,4200.00,card,0,0,0
2026-05-06,4000.00,card,0,0,0
2026-05-06,3400.0000,LTC,0,0.84451076,0
2026-05-06,1700.00,BALANCE,0,0,0
2026-05-06,4000.00,juppiter,0,0,0
2026-05-06,1700.00,BALANCE,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2900.00,transa,0,0,0
2026-05-06,2000.00,BALANCE,0,0,0
2026-05-06,4200.00,BALANCE,0,0,0
2026-05-06,2000.00,transa,0,0,0
2026-05-06,4000.00,transa,0,0,0
2026-05-06,4200.00,BALANCE,0,0,0
2026-05-06,2500.00,BALANCE,0,0,0
2026-05-06,2900.00,transa,0,0,0
2026-05-06,2000.00,BALANCE,0,0,0
2026-05-06,2000.00,BALANCE,0,0,0
2026-05-06,4000.00,card,0,0,0
2026-05-06,3100.00,BALANCE,0,0,0
2026-05-06,6900.00,card,0,0,0
2026-05-06,2900.00,card,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,4000.00,card,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,4000.00,BALANCE,0,0,0
2026-05-06,2000.00,card,0,0,0
2026-05-06,2900.00,BALANCE,0,0,0
2026-05-06,2000.00,juppiter,0,0,0
